SQL>
SQL> select di.owner
  2       , dic.column_name
  3       , dic.column_position
  4       , di.table_name
  5       , di.index_name
  6       , di.index_type
  7       , di.uniqueness
  8       , di.num_rows
  9       , di.sample_size
 10       , di.last_analyzed
 11       , di.global_stats
 12       , di.initial_extent
 13       , di.max_extents
 14       , di.next_extent
 15    from user_tables ut
 16         inner join dba_indexes di on di.table_name = ut.table_name
 17         inner join dba_ind_columns dic on dic.index_name = di.index_name
 18   --where ut.table_name like 'LBM_CLIENT_TOP'
 19  ;

OWNER                          COLUMN_NAME                    COLUMN_POSITION TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      DATEMOUVEMENT                                3 HISTO_MVTS_STOCK_MAG_NSERIE    HISTO_MVTS_STOCK_MAG_NSERIE_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEMVTSTOCKMAG                              4 HISTO_MVTS_STOCK_MAG_NSERIE    HISTO_MVTS_STOCK_MAG_NSERIE_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      TYPEEVENEMENTMAG                             5 HISTO_MVTS_STOCK_MAG_NSERIE    HISTO_MVTS_STOCK_MAG_NSERIE_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEEVENEMENT                                6 HISTO_MVTS_STOCK_MAG_NSERIE    HISTO_MVTS_STOCK_MAG_NSERIE_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      NUMEROLIGNE                                  7 HISTO_MVTS_STOCK_MAG_NSERIE    HISTO_MVTS_STOCK_MAG_NSERIE_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      TYPEOSCC                                     1 HISTO_OSCC                     HISTO_OSCC_FK1                 NORMAL                      NONUNIQUE     506235      506235 21-SEP-17 YES        7340032  2147483645     1048576
STORELAND                      NATURE                                       2 HISTO_OSCC                     HISTO_OSCC_FK1                 NORMAL                      NONUNIQUE     506235      506235 21-SEP-17 YES        7340032  2147483645     1048576
STORELAND                      SENS                                         3 HISTO_OSCC                     HISTO_OSCC_FK1                 NORMAL                      NONUNIQUE     506235      506235 21-SEP-17 YES        7340032  2147483645     1048576
STORELAND                      DATEOSCC                                     4 HISTO_OSCC                     HISTO_OSCC_FK1                 NORMAL                      NONUNIQUE     506235      506235 21-SEP-17 YES        7340032  2147483645     1048576
STORELAND                      CODEOSCC                                     1 HISTO_OSCC                     HISTO_OSCC_PK                  NORMAL                      NONUNIQUE     506235      506235 21-SEP-17 YES        7340032  2147483645     1048576
STORELAND                      CODECLIENT                                   1 HISTO_OSCC                     HISTO_OSCC_FK2                 NORMAL                      NONUNIQUE     506235      506235 21-SEP-17 YES        4194304  2147483645     1048576
STORELAND                      CODEMAGASINCLIENT                            2 HISTO_OSCC                     HISTO_OSCC_FK2                 NORMAL                      NONUNIQUE     506235      506235 21-SEP-17 YES        4194304  2147483645     1048576
STORELAND                      REMARQUE                                     1 HISTO_OSCC                     HISTO_OSCC_FK3                 NORMAL                      NONUNIQUE      10130       10130 21-SEP-17 YES          65536  2147483645     1048576
STORELAND                      CODEPRODUIT                                  1 HISTO_PRODUITS_FOURNISSEURS    HISTO_PRODUITS_FOURNISSEURS_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEFOURNISSEUR                              2 HISTO_PRODUITS_FOURNISSEURS    HISTO_PRODUITS_FOURNISSEURS_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      DATECREATION                                 3 HISTO_PRODUITS_FOURNISSEURS    HISTO_PRODUITS_FOURNISSEURS_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODESITE                                     1 HISTO_QTE_RESERVEE_CDE         HISTO_QTE_RESERVEE_CDE_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECOMMANDE                                 2 HISTO_QTE_RESERVEE_CDE         HISTO_QTE_RESERVEE_CDE_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEINTERNEARTICLE                           3 HISTO_QTE_RESERVEE_CDE         HISTO_QTE_RESERVEE_CDE_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODESITE                                     1 HISTO_REPORTS_DATE_CDE_COMP    HISTO_REPORTS_DATE_CDE_COMP_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECOMMANDE                                 2 HISTO_REPORTS_DATE_CDE_COMP    HISTO_REPORTS_DATE_CDE_COMP_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECOMPOSANT                                3 HISTO_REPORTS_DATE_CDE_COMP    HISTO_REPORTS_DATE_CDE_COMP_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
