SQL>
SQL> select di.owner
  2       , di.table_name
  3       , di.index_name
  4       , di.index_type
  5       , di.uniqueness
  6       , di.num_rows
  7       , di.sample_size
  8       , di.last_analyzed
  9       , di.global_stats
 10       , di.initial_extent
 11       , di.max_extents
 12       , di.next_extent
 13    from user_tables ut
 14         inner join dba_indexes di on di.table_name = ut.table_name
 15  ;

OWNER                          TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      LBM_VENTE_POSTE_ARCHIVE        LBM_VENTE_POSTE_ARCHIVE_FK1    NORMAL                      NONUNIQUE          0           0 29-SEP-14 YES          65536  2147483645     1048576
STORELAND                      REINTEGRATIONS_DEPOT           REINTEGRATIONS_DEPOT_PK        NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      REINTEGRATIONS_DEPOT           REINTEGRATIONS_DEPOT_FK1       NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      REMISES_DETAILLEES             REMISES_DETAILLEES_PK          NORMAL                      UNIQUE             0           0 01-JUN-14 YES       11534336  2147483645     1048576
STORELAND                      REMISES_TARIF_NEG              REMISES_TARIF_NEG_PK           NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      REMISES_TRANSPORTEUR_MAGASIN   REMISES_TRANSPORTEUR_MAG_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      REPART_QTESACDER               REPART_QTESACDER_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      REPART_QTESACDER_ARTICLE       REPART_QTESACDER_ARTICLE_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      REPONSES_AUX_QUESTIONNAIRES    REPONSES_AUX_QUESTIONNAIRES_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      REPONSES_MAGASIN               REPONSES_MAGASIN_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      RESERVATIONS_STOCK             RESERVATIONS_STOCK_FK1         NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      RESERVATIONS_STOCK             RESERVATIONS_STOCK_FK2         NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      RESERVATIONS_STOCK             RESERVATIONS_STOCK_PK          NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES          65536  2147483645     1048576
