SQL> select at.table_name, at.status, at.num_rows, at.last_analyzed , atc.data_type
  2       , ai.index_name, ai.index_type, ai.uniqueness, ai.leaf_blocks, ai.distinct_keys, ai.status as i_status, ai.last_analyzed as i_last_analyzed, ai.global_stats
  3       , aic.column_name, aic.column_position
  4    from all_tables at
  5         inner join all_indexes ai on ai.table_name = at.table_name
  6         inner join all_ind_columns aic on aic.index_name = ai.index_name
  7         inner join all_tab_columns atc on atc.table_name = aic.table_name and atc.column_name = aic.column_name
  8   where at.owner  in ( 'STORELAND' )
  9     ---and at.table_name in ('LBM_VENTE_POSTE', 'LBM_CP_HISTO')
 10   order by at.table_name, ai.index_name, aic.column_position
 11  ;
TABLE_NAME                     STATUS     NUM_ROWS LAST_ANAL DATA_TYPE                      INDEX_NAME                     INDEX_TYPE                     UNIQUENES LEAF_BLOCKS DISTINCT_KEYS I_STATUS I_LAST_AN GLO COLUMN_NAME                    COLUMN_POSITION
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 VARCHAR2                       AGREGAT_TICKET_VENTE_FK4       NORMAL                         NONUNIQUE       23094       1150379 VALID    23-OCT-17 YES CODECARTEFIDELITECLIENT                      1
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 DATE                           AGREGAT_TICKET_VENTE_FK4       NORMAL                         NONUNIQUE       23094       1150379 VALID    23-OCT-17 YES JOURDEVENTE                                  2
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 NUMBER                         AGREGAT_TICKET_VENTE_FK4       NORMAL                         NONUNIQUE       23094       1150379 VALID    23-OCT-17 YES CODEMAGASIN                                  3
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 NUMBER                         AGREGAT_TICKET_VENTE_FK5       NORMAL                         NONUNIQUE       11387        271393 VALID    23-OCT-17 YES TICKETRATTACHEMANU                           1
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 VARCHAR2                       AGREGAT_TICKET_VENTE_FK5       NORMAL                         NONUNIQUE       11387        271393 VALID    23-OCT-17 YES CODECLIENT                                   2
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 NUMBER                         AGREGAT_TICKET_VENTE_PK        NORMAL                         UNIQUE          35979       2174245 VALID    23-OCT-17 YES CODEMAGASIN                                  1
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 DATE                           AGREGAT_TICKET_VENTE_PK        NORMAL                         UNIQUE          35979       2174245 VALID    23-OCT-17 YES JOURDEVENTE                                  2
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 VARCHAR2                       AGREGAT_TICKET_VENTE_PK        NORMAL                         UNIQUE          35979       2174245 VALID    23-OCT-17 YES CODECAISSE                                   3
AGREGAT_TICKET_VENTE           VALID       2136294 23-OCT-17 NUMBER                         AGREGAT_TICKET_VENTE_PK        NORMAL                         UNIQUE          35979       2174245 VALID    23-OCT-17 YES NUMTICKET                                    4
AIF_CLASSPROD3_CORRESP         VALID             0 01-JUN-14 VARCHAR2                       AIF_CLASSPROD3_CORRESP_PK      NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECLASSPROD3AIF                            1
